"level1","level2","level3","level4","un_sdg_groups","diego_groups","type","level1_iso3"
"burundi","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","BDI"
"comoros","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","COM"
"djibouti","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","DJI"
"eritrea","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","ERI"
"ethiopia","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","ETH"
"kenya","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","KEN"
"madagascar","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","MDG"
"malawi","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","MWI"
"mauritius","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","MUS"
"mayotte","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","MYT"
"mozambique","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","MOZ"
"réunion","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","REU"
"rwanda","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","RWA"
"seychelles","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","SYC"
"somalia","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","SOM"
"south sudan","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","SSD"
"uganda","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","UGA"
"united republic of tanzania","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","TZA"
"zambia","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","ZMB"
"zimbabwe","africa","sub-saharan africa","eastern africa","sub-saharan africa","sub-saharan africa","country","ZWE"
"angola","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","AGO"
"cameroon","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","CMR"
"central african republic","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","CAF"
"chad","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","TCD"
"congo","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","COG"
"democratic republic of the congo","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","COD"
"equatorial guinea","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","GNQ"
"gabon","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","GAB"
"sao tome and principe","africa","sub-saharan africa","middle africa","sub-saharan africa","sub-saharan africa","country","STP"
"botswana","africa","sub-saharan africa","southern africa","sub-saharan africa","sub-saharan africa","country","BWA"
"eswatini","africa","sub-saharan africa","southern africa","sub-saharan africa","sub-saharan africa","country","SWZ"
"lesotho","africa","sub-saharan africa","southern africa","sub-saharan africa","sub-saharan africa","country","LSO"
"namibia","africa","sub-saharan africa","southern africa","sub-saharan africa","sub-saharan africa","country","NAM"
"south africa","africa","sub-saharan africa","southern africa","sub-saharan africa","sub-saharan africa","country","ZAF"
"benin","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","BEN"
"burkina faso","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","BFA"
"cabo verde","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","CPV"
"côte d'ivoire","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","CIV"
"gambia","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","GMB"
"ghana","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","GHA"
"guinea","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","GIN"
"guinea-bissau","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","GNB"
"liberia","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","LBR"
"mali","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","MLI"
"mauritania","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","MRT"
"niger","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","NER"
"nigeria","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","NGA"
"saint helena","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","SHN"
"senegal","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","SEN"
"sierra leone","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","SLE"
"togo","africa","sub-saharan africa","western africa","sub-saharan africa","sub-saharan africa","country","TGO"
"algeria","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","DZA"
"egypt","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","EGY"
"libya","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","LBY"
"morocco","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","MAR"
"sudan","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","SDN"
"tunisia","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","TUN"
"western sahara","africa","northern africa and western asia","northern africa","northern africa and western asia","northern africa and western asia","country","ESH"
"armenia","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","ARM"
"azerbaijan","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","AZE"
"bahrain","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","BHR"
"cyprus","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","CYP"
"georgia","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","GEO"
"iraq","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","IRQ"
"israel","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","ISR"
"jordan","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","JOR"
"kuwait","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","KWT"
"lebanon","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","LBN"
"oman","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","OMN"
"qatar","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","QAT"
"saudi arabia","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","SAU"
"state of palestine","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","PSE"
"syrian arab republic","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","SYR"
"turkey","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","TUR"
"united arab emirates","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","ARE"
"yemen","asia","northern africa and western asia","western asia","northern africa and western asia","northern africa and western asia","country","YEM"
"kazakhstan","asia","central and southern asia","central asia","central and southern asia","central and southern asia","country","KAZ"
"kyrgyzstan","asia","central and southern asia","central asia","central and southern asia","central and southern asia","country","KGZ"
"tajikistan","asia","central and southern asia","central asia","central and southern asia","central and southern asia","country","TJK"
"turkmenistan","asia","central and southern asia","central asia","central and southern asia","central and southern asia","country","TKM"
"uzbekistan","asia","central and southern asia","central asia","central and southern asia","central and southern asia","country","UZB"
"afghanistan","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","AFG"
"bangladesh","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","BGD"
"bhutan","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","BTN"
"india","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","IND"
"iran (islamic republic of)","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","IRN"
"maldives","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","MDV"
"nepal","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","NPL"
"pakistan","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","PAK"
"sri lanka","asia","central and southern asia","southern asia","central and southern asia","central and southern asia","country","LKA"
"china","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","CHN"
"china, hong kong sar","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","HKG"
"china, macao sar","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","MAC"
"china, taiwan province of china","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","TWN"
"dem people's republic of korea","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","PRK"
"japan","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","JPN"
"mongolia","asia","eastern and south-eastern asia","eastern asia","eastern and south-eastern asia","eastern and south-eastern asia and oceania (other)","country","MNG"
