"cohort","country","X1_sand.size","X2_sand.rate","X3_sand.total.duration..years.","X4_sand.share.of.lifespan....","X5_gsand.size","X6_gsand.rate","X7_gsand.total.duration..years.","X8_gsand.share.of.lifespan...."
1970,"ABW",55.4,2.7,4.1,5.2,47.8,1.9,4.1,5.2
2005,"ABW",57.1,2.7,4.3,5,45.9,1.5,3.6,4.2
2040,"ABW",57.5,2.4,4.1,4.8,46.2,1.3,3.6,4.2
1970,"AFG",56.1,5.8,5.3,9.1,41.3,2.7,3.1,5.4
2005,"AFG",62.3,3.9,5.3,7.2,46.4,1.8,3.6,4.9
2040,"AFG",58.5,3,4.5,5.7,41.9,1.4,3.2,4
1970,"AGO",58.9,6.4,5.8,10.1,43.1,2.9,3.3,5.7
2005,"AGO",68,5.3,6.4,9.3,57.2,3,4.8,7
2040,"AGO",70.7,4.4,6.2,8.1,57.3,2.4,4.8,6.3
1970,"ALB",59,3,4.2,5.2,49.8,2,4.2,5.1
2005,"ALB",42.7,1.7,2.7,3.2,46.8,1.6,4.2,4.9
2040,"ALB",43.8,1.7,2.8,3.2,52.3,2,5.1,5.8
1970,"ARE",63.2,3.4,5,6.2,51.4,2.1,4.3,5.4
2005,"ARE",53.8,2.6,4.1,4.9,26.6,0.6,1.7,2
2040,"ARE",60.2,3,5.1,5.9,19.3,0.4,1.1,1.3
1970,"ARG",64,3.5,5.1,6.4,56,2.3,4.9,6.1
2005,"ARG",56.3,2.6,4.2,4.9,53.2,2,4.9,5.8
2040,"ARG",51.6,2.2,3.7,4.3,49,1.7,4.5,5.2
1970,"ARM",54,2.8,3.9,4.9,46.4,1.8,3.9,4.8
2005,"ARM",54,2.2,3.6,4.4,51.3,1.8,4.3,5.2
2040,"ARM",54.5,2.2,3.7,4.3,47.6,1.5,3.8,4.4
1970,"ATG",53,2.7,3.8,4.9,50.5,2.1,4.5,5.7
2005,"ATG",53.3,2.3,3.7,4.4,50.4,1.8,4.5,5.4
2040,"ATG",48,1.9,3.1,3.7,50,1.7,4.4,5.3
1970,"AUS",51.1,2.1,3.3,3.9,49.7,1.9,4.4,5.1
2005,"AUS",53.2,2.1,3.7,4.1,45.1,1.4,3.7,4.1
2040,"AUS",47.9,1.8,3.2,3.4,45.2,1.5,3.8,4.1
1970,"AUT",45.8,2.1,3.1,3.6,41.7,1.5,3.4,4
2005,"AUT",53.4,2.1,3.6,4,43.4,1.2,3.3,3.7
2040,"AUT",51.3,2,3.5,3.9,40.7,1.1,3.1,3.4
1970,"AZE",56.1,3.4,4.4,6,44,1.7,3.4,4.6
2005,"AZE",50.7,2.3,3.5,4.3,50.5,2,4.6,5.7
2040,"AZE",48.4,2,3.2,3.9,54.3,2.1,5.2,6.3
1970,"BDI",60.2,6.3,5.8,10.4,39.7,2.4,2.7,4.9
2005,"BDI",66.8,5.1,6.3,9.1,46.4,2,3.5,5.1
2040,"BDI",68.2,4.1,6,7.7,47.7,1.6,3.6,4.7
1970,"BEL",51.3,2.2,3.5,4.1,44.2,1.5,3.6,4.2
2005,"BEL",51.5,2,3.4,3.8,46.6,1.4,3.8,4.2
2040,"BEL",47.1,1.8,3,3.4,47.3,1.5,4,4.4
1970,"BEN",57.6,6,5.6,10.1,43.6,2.6,3.3,6
2005,"BEN",66,4.7,5.8,8.7,52.1,2.4,4.2,6.4
2040,"BEN",66.2,3.9,5.3,7.1,53.6,2.3,4.3,5.7
1970,"BFA",58.4,6.1,5.8,10.2,41.2,2.5,3.2,5.7
2005,"BFA",65.1,5.1,6.1,9,52.7,2.7,4.4,6.5
2040,"BFA",67.1,3.5,5.5,7.2,53.7,2,4.4,5.7
1970,"BGD",53,3.6,4.2,6.1,45.2,2.4,3.9,5.7
2005,"BGD",43.3,1.9,2.7,3.4,48,2,4.4,5.5
2040,"BGD",41.1,1.6,2.5,3,52.6,2,5.3,6.3
1970,"BGR",51.6,2.3,3.5,4.5,46.3,1.8,4,5.1
2005,"BGR",60.1,2.8,4.5,5.4,47.4,1.8,4,4.7
2040,"BGR",56.6,2.6,4.4,5.1,41.1,1.2,3.2,3.7
1970,"BHR",70.2,3.9,5.9,7.6,53.8,1.9,4.2,5.4
2005,"BHR",55.6,2.7,4.3,5.1,41.4,1.3,3.3,3.9
2040,"BHR",51.4,2.3,3.7,4.3,44.9,1.4,3.7,4.4
1970,"BHS",63.3,3.5,5,6.5,47.8,1.8,3.8,5.1
2005,"BHS",57,3,4.6,5.7,40.8,1.3,3.3,4.1
2040,"BHS",57.4,2.8,4.5,5.4,41.7,1.2,3.3,3.9
1970,"BIH",50.2,2.6,3.6,4.5,37.6,1.3,2.9,3.6
2005,"BIH",51.2,2.2,3.5,4.1,35.5,1,2.6,3
2040,"BIH",57.2,2.4,4,4.6,38.7,1.1,2.7,3.1
1970,"BLR",57.2,3,4.2,5.3,39,1.4,2.8,3.6
2005,"BLR",60.5,2.5,4.3,5.1,47.5,1.5,3.6,4.3
2040,"BLR",59.3,2.6,4.3,5,41,1.2,2.9,3.4
1970,"BLZ",67.9,3.8,5.4,7,64.4,3.2,6.2,8.1
2005,"BLZ",51.6,2.3,3.5,4.2,52.3,2,4.8,5.8
2040,"BLZ",47.7,2,3.1,3.6,49.3,1.8,4.5,5.2
1970,"BOL",54.6,4.1,4.5,7,44.5,2.5,3.7,5.8
2005,"BOL",56.9,2.8,4,5.2,52.6,2.1,4.6,5.9
2040,"BOL",51.9,2.3,3.5,4.3,47.9,1.7,4.2,5
1970,"BRA",54.5,2.9,3.9,5,46,2,3.8,4.8
2005,"BRA",44.3,1.9,2.9,3.4,44.1,1.6,4,4.7
2040,"BRA",48.7,2,3.2,3.7,47.9,1.5,4.1,4.6
1970,"BRB",47.4,2.4,3.3,4.1,42.8,1.7,3.8,4.7
2005,"BRB",49.4,2.1,3.2,3.8,44.3,1.5,3.7,4.3
2040,"BRB",50.1,2.1,3.4,3.9,46.6,1.4,3.8,4.3
1970,"BRN",60.7,3.3,4.7,6,46.2,1.8,3.7,4.7
2005,"BRN",53.7,2.6,3.9,4.7,36.1,1.1,2.6,3.1
2040,"BRN",54,2.3,3.9,4.5,39.2,1.1,2.8,3.2
1970,"BTN",50.8,3.8,3.9,6.3,38,1.8,2.8,4.6
2005,"BTN",47.3,2.2,3.2,4,39.5,1.3,3.1,3.9
2040,"BTN",50.9,2.1,3.4,4.1,42.6,1.3,3.3,4
1970,"BWA",62.8,4.9,5.2,8.6,37.3,1.7,2.6,4.3
2005,"BWA",59.4,3.2,4.4,5.8,48.3,1.9,3.8,5
2040,"BWA",58.1,2.9,4.3,5.3,47.7,1.6,3.8,4.7
1970,"CAF",59.7,6.4,5.6,10.8,36.7,2,2.5,4.8
2005,"CAF",57.9,4.6,4.9,8.1,38.8,1.8,2.9,4.7
2040,"CAF",60,4,5,7.2,36.2,1.4,2.6,3.7
1970,"CAN",47.3,2.1,3.1,3.7,43.7,1.5,3.7,4.4
2005,"CAN",52,2,3.5,3.9,42.7,1.2,3.3,3.6
2040,"CAN",50.6,2,3.4,3.7,41.1,1.1,3.2,3.5
1970,"CHE",45.8,2.1,3.1,3.6,38.5,1.3,3,3.5
2005,"CHE",52.8,2.1,3.6,3.9,36.8,0.9,2.6,2.8
2040,"CHE",51.9,2,3.5,3.8,36.3,1,2.6,2.8
1970,"CHL",52.7,2.6,3.7,4.5,50,2,4.4,5.4
2005,"CHL",48.3,1.9,3.2,3.7,45.3,1.5,4,4.5
2040,"CHL",50.7,1.9,3.3,3.7,45,1.5,3.9,4.4
1970,"CHN",48.5,2.8,3.5,4.5,37.5,1.5,3,3.8
2005,"CHN",54.7,2.2,4,4.7,48.9,1.8,4.3,5
2040,"CHN",54.4,2.2,3.8,4.4,51.5,1.7,4.5,5.1
1970,"CIV",74.4,7.2,7.5,14.1,50.9,3.5,4.2,7.9
2005,"CIV",67.7,5.5,5.7,8.8,41.7,2.2,3,4.7
2040,"CIV",70.8,4.6,6.3,8.9,49.5,1.5,3.8,5.4
1970,"CMR",63.5,6.1,6.2,10.5,45.7,2.8,3.6,6.1
2005,"CMR",65.1,4.8,5.8,8.9,47.4,2.1,3.6,5.6
2040,"CMR",67.8,4.3,6,8.2,44.2,1.5,3.3,4.5
